species,prefix,scope,status,evidence,notes
Sus,SL-A,genus,literature_historical,https://pubmed.ncbi.nlm.nih.gov/125631/,
Sus domesticus,Sudo,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Suids; taxon=9825; designation=Sudo
Sus scrofa,SLA,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Suids; taxon=9823; designation=Susc(SLA)
Sus scrofa,Susc,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Suids; taxon=9823; designation=Susc(SLA)
Sylvia borin,Sybo,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A0S2MYY4;https://rest.uniprot.org/uniprotkb/A0A0S2MZ00;https://rest.uniprot.org/uniprotkb/A0A0S2MZ03,attested in the retained source label for A0A0S2MYY4;A0A0S2MZ00;A0A0S2MZ03
Tachyglossus aculeatus,Taac,exact,external_database,https://rest.uniprot.org/uniprotkb/Q6WGJ3;https://rest.uniprot.org/uniprotkb/Q6WGJ4;https://rest.uniprot.org/uniprotkb/Q6WGJ5,attested in the retained source label for Q6WGJ3;Q6WGJ4;Q6WGJ5
Theropithecus gelada,Thge,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Non-Human Primates; taxon=9565; designation=Thge
Tiliqua adelaidensis,Tiad,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A0K0N2V0;https://rest.uniprot.org/uniprotkb/A0A0K0N386;https://rest.uniprot.org/uniprotkb/A0A0K0N3E6,attested in the retained source label for A0A0K0N2V0;A0A0K0N386;A0A0K0N3E6
Tiliqua rugosa,Tiru,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A0K0N390;https://rest.uniprot.org/uniprotkb/A0A0K0N3F1;https://rest.uniprot.org/uniprotkb/A0A0K0N3F3,attested in the retained source label for A0A0K0N390;A0A0K0N3F1;A0A0K0N3F3
Trachinotus ovatus,TO,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A3G1LCB1;https://rest.uniprot.org/uniprotkb/A0A3G1LCB2;https://rest.uniprot.org/uniprotkb/A0A3G1LCB4,attested in the retained source label for A0A3G1LCB1;A0A3G1LCB2;A0A3G1LCB4
Trachinotus ovatus,Trov,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A167QN57;https://rest.uniprot.org/uniprotkb/A0A1J0QXE6;https://rest.uniprot.org/uniprotkb/A0A1J0QXE8,attested in the retained source label for A0A167QN57;A0A1J0QXE6;A0A1J0QXE8
Trichosurus vulpecula,Truv,exact,external_database,https://rest.uniprot.org/uniprotkb/Q95IT0,attested in the retained source label for Q95IT0
Trichosurus vulpecula,Trvu,exact,external_database,https://rest.uniprot.org/uniprotkb/B3U2C3;https://rest.uniprot.org/uniprotkb/B3U2C4;https://rest.uniprot.org/uniprotkb/B3U2C5,attested in the retained source label for B3U2C3;B3U2C4;B3U2C5
Triturus cristatus,Trcr,exact,external_database,https://rest.uniprot.org/uniprotkb/B8XWH4;https://rest.uniprot.org/uniprotkb/B8XWJ8,attested in the retained source label for B8XWH4;B8XWJ8
Turdus atrogularis,Tuat,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A6B9MDW2;https://rest.uniprot.org/uniprotkb/A0A6B9MDW3;https://rest.uniprot.org/uniprotkb/A0A6B9MDW5,attested in the retained source label for A0A6B9MDW2;A0A6B9MDW3;A0A6B9MDW5
Turdus naumanni,Tuna,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A6B9MIG4;https://rest.uniprot.org/uniprotkb/A0A6B9MDT2;https://rest.uniprot.org/uniprotkb/A0A6B9MDT4,attested in the retained source label for A0A6B9MIG4;A0A6B9MDT2;A0A6B9MDT4
Turdus ruficollis,Turu,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A6B9MDV5;https://rest.uniprot.org/uniprotkb/A0A6B9MDV7;https://rest.uniprot.org/uniprotkb/A0A6B9MDV8,attested in the retained source label for A0A6B9MDV5;A0A6B9MDV7;A0A6B9MDV8
Tursiops truncatus,Tutr,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Cetacea; taxon=9739; designation=Tutr
Tyto alba,Tyal,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A172WY83;https://rest.uniprot.org/uniprotkb/A0A172WY84;https://rest.uniprot.org/uniprotkb/A0A172WY85,attested in the retained source label for A0A172WY83;A0A172WY84;A0A172WY85
Xenopus laevis,XL-A,exact,literature_historical,https://pubmed.ncbi.nlm.nih.gov/2653371/,
Xenopus laevis,XLA,exact,literature_historical,https://pubmed.ncbi.nlm.nih.gov/2653371/,
Xenopus laevis,Xela,exact,external_database,https://rest.uniprot.org/uniprotkb/P79597;https://rest.uniprot.org/uniprotkb/Q2QB90;https://rest.uniprot.org/uniprotkb/Q2QB91,attested in the retained source label for P79597;Q2QB90;Q2QB91
Xiphophorus hellerii,Xihe,exact,external_database,https://rest.uniprot.org/uniprotkb/O62885,attested in the retained source label for O62885
Xiphophorus maculatus,Xima,exact,external_database,https://rest.uniprot.org/uniprotkb/O62884;https://rest.uniprot.org/uniprotkb/O62938,attested in the retained source label for O62884;O62938
Xiphophorus multilineatus,Ximu,exact,external_database,https://rest.uniprot.org/uniprotkb/B5AIX3;https://rest.uniprot.org/uniprotkb/B5AIX4;https://rest.uniprot.org/uniprotkb/B5AIX5,attested in the retained source label for B5AIX3;B5AIX4;B5AIX5
Xiphophorus pygmaeus,Xipy,exact,external_database,https://rest.uniprot.org/uniprotkb/B5AIY7;https://rest.uniprot.org/uniprotkb/B5AIY8;https://rest.uniprot.org/uniprotkb/B5AIY9,attested in the retained source label for B5AIY7;B5AIY8;B5AIY9
Zhangixalus omeimontis,Rhom,exact,external_database,https://rest.uniprot.org/uniprotkb/R9UQ42;https://rest.uniprot.org/uniprotkb/R9UQ50;https://rest.uniprot.org/uniprotkb/R9UQ57,attested in the retained source label for R9UQ42;R9UQ50;R9UQ57
Ziphius cavirostris,Zica,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Cetacea; taxon=9760; designation=Zica(Zica)
