species,legacy_prefix,status,row_count,source_attested_row_count,evidence,example_accessions,example_source_labels
Sparus aurata,Spau,external_uniprot_label,12,12,https://rest.uniprot.org/uniprotkb/Q38LF7;https://rest.uniprot.org/uniprotkb/Q38LF8;https://rest.uniprot.org/uniprotkb/Q4U1B7,Q38LF7;Q38LF8;Q4U1B7,Spau-UAA MHC class I alpha antigen;Spau-DAA MHC class II alpha antigen
Spheniscus humboldti,Sphu,external_uniprot_label,62,9,https://rest.uniprot.org/uniprotkb/A0A7M1DN15;https://rest.uniprot.org/uniprotkb/A0A7M1DN19;https://rest.uniprot.org/uniprotkb/A0A7M1DN84,A0A7M1DN15;A0A7M1DN19;A0A7M1DN84,Sphu-DRB1 MHC class II antigen
Spheniscus magellanicus,Spma,external_uniprot_label,157,81,https://rest.uniprot.org/uniprotkb/A0A6B7NCI0;https://rest.uniprot.org/uniprotkb/A0A6B7ND07;https://rest.uniprot.org/uniprotkb/A0A6B7ND10,A0A6B7NCI0;A0A6B7ND07;A0A6B7ND10,Spma-DRB1 MHC class II antigen
Spheniscus mendiculus,Spme,external_uniprot_label,4,2,https://rest.uniprot.org/uniprotkb/A0A6B7NDY8;https://rest.uniprot.org/uniprotkb/A0A6B7NHF8,A0A6B7NDY8;A0A6B7NHF8,Spme-DRB1 MHC class II antigen
Sphenodon punctatus,Sppu,external_uniprot_label,32,23,https://rest.uniprot.org/uniprotkb/A0A0F7CYH7;https://rest.uniprot.org/uniprotkb/A0A0F7CYI0;https://rest.uniprot.org/uniprotkb/A0A0F7GXU0,A0A0F7CYH7;A0A0F7CYI0;A0A0F7GXU0,SppuUD MHC class I antigen;SppuUBA MHC class I antigen;SppuUCA MHC class I antigen
Spinus atratus,Caat,external_uniprot_label,26,26,https://rest.uniprot.org/uniprotkb/A0A384M0D1;https://rest.uniprot.org/uniprotkb/A0A384M0D3;https://rest.uniprot.org/uniprotkb/A0A384M0I2,A0A384M0D1;A0A384M0D3;A0A384M0I2,Caat-F MHC class I antigen
Spinus pinus,Capi,external_uniprot_label,23,23,https://rest.uniprot.org/uniprotkb/A0A139YCS1;https://rest.uniprot.org/uniprotkb/A0A384M0D5;https://rest.uniprot.org/uniprotkb/A0A384M0D6,A0A139YCS1;A0A384M0D5;A0A384M0D6,Capi-F MHC class I antigen
Spinus spinus,Casp,external_uniprot_label,48,48,https://rest.uniprot.org/uniprotkb/A0A139YCS2;https://rest.uniprot.org/uniprotkb/A0A384M0D9;https://rest.uniprot.org/uniprotkb/A0A384M0E0,A0A139YCS2;A0A384M0D9;A0A384M0E0,Casp-F MHC class I antigen
Spinus spinus,Spsp,external_uniprot_label,69,69,https://rest.uniprot.org/uniprotkb/A0A6B9MC93;https://rest.uniprot.org/uniprotkb/A0A6B9MCA2;https://rest.uniprot.org/uniprotkb/A0A6B9MEU9,A0A6B9MC93;A0A6B9MCA2;A0A6B9MEU9,Spsp-UA MHC class I antigen
Sterna hirundo,Sthi,external_uniprot_label,206,206,https://rest.uniprot.org/uniprotkb/A0A8F1NLD6;https://rest.uniprot.org/uniprotkb/A0A8F1NLD7;https://rest.uniprot.org/uniprotkb/A0A8F1NLD8,A0A8F1NLD6;A0A8F1NLD7;A0A8F1NLD8,Sthi-UA MHC class I antigen;Sthi-DAB MHC class II antigen
Strix aluco,Stal,external_uniprot_label,4,4,https://rest.uniprot.org/uniprotkb/A9LDQ5;https://rest.uniprot.org/uniprotkb/B3F8W6;https://rest.uniprot.org/uniprotkb/B3F8W7,A9LDQ5;B3F8W6;B3F8W7,Stal-DRB MHC class II antigen beta;Stal-DAB2 MHC class II antigen beta;Stal-DAB1 MHC class II antigen beta
