uniprot_accession,species,legacy_prefix,legacy_gene,source_gene_names,source_protein_name,label_classification,primary_reference,source_kind,source_url,uniprot_entry_version,uniprot_last_modified,uniprot_release,uniprot_release_date,retrieved_on
A7YEN5,Arvicola amphibius,Arte,Arte-DRB,Arte-DRB,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A7YEN5,44,2025-10-08,2026_02,10-June-2026,2026-08-31
A7YEN6,Arvicola amphibius,Arte,Arte-DRB,Arte-DRB,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A7YEN6,44,2025-10-08,2026_02,10-June-2026,2026-08-31
A7YEN7,Arvicola amphibius,Arte,Arte-DRB,Arte-DRB,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A7YEN7,44,2025-10-08,2026_02,10-June-2026,2026-08-31
Q30DZ7,Arvicola amphibius,Arte,Arte-DQA,Arte-DQA,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q30DZ7,41,2025-10-08,2026_02,10-June-2026,2026-08-31
Q30DZ8,Arvicola amphibius,Arte,Arte-DQA,Arte-DQA,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q30DZ8,42,2025-10-08,2026_02,10-June-2026,2026-08-31
Q30DZ9,Arvicola amphibius,Arte,Arte-DQA,Arte-DQA,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q30DZ9,42,2025-10-08,2026_02,10-June-2026,2026-08-31
Q30E00,Arvicola amphibius,Arte,Arte-DQA,Arte-DQA,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q30E00,42,2025-10-08,2026_02,10-June-2026,2026-08-31
Q30E01,Arvicola amphibius,Arte,Arte-DQA,Arte-DQA,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q30E01,42,2025-10-08,2026_02,10-June-2026,2026-08-31
Q30E02,Arvicola amphibius,Arte,Arte-DQA,Arte-DQA,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q30E02,42,2025-10-08,2026_02,10-June-2026,2026-08-31
Q30E03,Arvicola amphibius,Arte,Arte-DQA,Arte-DQA,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q30E03,42,2025-10-08,2026_02,10-June-2026,2026-08-31
Q6TKI4,Cryptomys hottentotus,BLA,BLA-DQA1,BLA-DQA1,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/15058438/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q6TKI4,43,2024-11-27,2026_02,10-June-2026,2026-08-31
Q6TKI5,Cryptomys hottentotus,BLA,BLA-DQA1,BLA-DQA1,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/15058438/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q6TKI5,42,2024-11-27,2026_02,10-June-2026,2026-08-31
Q6TKI6,Cryptomys hottentotus,BLA,BLA-DQA1,BLA-DQA1,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/15058438/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q6TKI6,42,2024-11-27,2026_02,10-June-2026,2026-08-31
Q6TKI7,Cryptomys hottentotus,BLA,BLA-DQA1,BLA-DQA1,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/15058438/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q6TKI7,44,2024-11-27,2026_02,10-June-2026,2026-08-31
Q6TKI8,Cryptomys hottentotus,BLA,BLA-DQA1,BLA-DQA1,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/15058438/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q6TKI8,42,2024-11-27,2026_02,10-June-2026,2026-08-31
A9UCA8,Ctenomys boliviensis,Ctbol,Ctbol-DRB01,Ctbol-DRB01,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/18049818/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A9UCA8,43,2025-10-08,2026_02,10-June-2026,2026-08-31
Q95HU0,Ctenomys boliviensis,Ctbol,Ctbol-DQB,Ctbol-DQB,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/18049818/,unisave_archived,https://rest.uniprot.org/unisave/Q95HU0?format=txt&versions=63,63,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q95HU1,Ctenomys boliviensis,Ctbol,Ctbol-DQB,Ctbol-DQB,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/18049818/,unisave_archived,https://rest.uniprot.org/unisave/Q95HU1?format=txt&versions=61,61,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q95HT8,Ctenomys bonettoi,Ctbon,Ctbon-DQB,Ctbon-DQB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q95HT8?format=txt&versions=61,61,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q95HT9,Ctenomys bonettoi,Ctbon,Ctbon-DQB,Ctbon-DQB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q95HT9?format=txt&versions=61,61,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q0H0P1,Ctenomys talarum,Cta,Cta-DRB,Cta-DRB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q0H0P1?format=txt&versions=46,46,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q0H0P2,Ctenomys talarum,Cta,Cta-DRB,Cta-DRB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q0H0P2?format=txt&versions=47,47,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q0H0P3,Ctenomys talarum,Cta,Cta-DRB,Cta-DRB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q0H0P3?format=txt&versions=47,47,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q0H0P4,Ctenomys talarum,Cta,Cta-DRB,Cta-DRB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q0H0P4?format=txt&versions=47,47,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q0H0P5,Ctenomys talarum,Cta,Cta-DRB,Cta-DRB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q0H0P5?format=txt&versions=47,47,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q0H0P6,Ctenomys talarum,Cta,Cta-DRB,Cta-DRB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q0H0P6?format=txt&versions=47,47,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q0H0P7,Ctenomys talarum,Cta,Cta-DRB,Cta-DRB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q0H0P7?format=txt&versions=47,47,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q0H0P8,Ctenomys talarum,Cta,Cta-DRB,Cta-DRB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q0H0P8?format=txt&versions=46,46,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q0H0P9,Ctenomys talarum,Cta,Cta-DRB,Cta-DRB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q0H0P9?format=txt&versions=47,47,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q0H0Q0,Ctenomys talarum,Cta,Cta-DRB,Cta-DRB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q0H0Q0?format=txt&versions=47,47,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q0H0Q1,Ctenomys talarum,Cta,Cta-DRB,Cta-DRB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q0H0Q1?format=txt&versions=47,47,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q0H0Q2,Ctenomys talarum,Cta,Cta-DRB,Cta-DRB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q0H0Q2?format=txt&versions=47,47,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q0H0Q3,Ctenomys talarum,Cta,Cta-DRB,Cta-DRB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q0H0Q3?format=txt&versions=47,47,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q0H0Q4,Ctenomys talarum,Cta,Cta-DRB,Cta-DRB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q0H0Q4?format=txt&versions=47,47,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q0H0Q5,Ctenomys talarum,Cta,Cta-DRB,Cta-DRB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q0H0Q5?format=txt&versions=47,47,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q0H0Q6,Ctenomys talarum,Cta,Cta-DRB,Cta-DRB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q0H0Q6?format=txt&versions=47,47,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q0H0Q7,Ctenomys talarum,Cta,Cta-DRB,Cta-DRB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q0H0Q7?format=txt&versions=46,46,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q0H0Q8,Ctenomys talarum,Cta,Cta-DRB,Cta-DRB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q0H0Q8?format=txt&versions=47,47,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q0H0Q9,Ctenomys talarum,Cta,Cta-DRB,Cta-DRB,MHC class II antigen,source_attested_prefix,,unisave_archived,https://rest.uniprot.org/unisave/Q0H0Q9?format=txt&versions=47,47,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
Q6TKH9,Fukomys damarensis,BLA,BLA-DQA1,BLA-DQA1,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/15058438/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q6TKH9,44,2024-11-27,2026_02,10-June-2026,2026-08-31
Q6TKI0,Fukomys damarensis,BLA,BLA-DQA1,BLA-DQA1,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/15058438/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q6TKI0,44,2024-11-27,2026_02,10-June-2026,2026-08-31
Q6TKI1,Fukomys damarensis,BLA,BLA-DQA1,BLA-DQA1,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/15058438/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q6TKI1,44,2024-11-27,2026_02,10-June-2026,2026-08-31
Q6TKI2,Fukomys damarensis,BLA,BLA-DQA1,BLA-DQA1,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/15058438/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q6TKI2,44,2024-11-27,2026_02,10-June-2026,2026-08-31
Q6TKI3,Fukomys damarensis,BLA,BLA-DQA1,BLA-DQA1,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/15058438/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q6TKI3,44,2024-11-27,2026_02,10-June-2026,2026-08-31
Q6TKG9,Heliophobius argenteocinereus,BLA,BLA-DQA1,BLA-DQA1,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/15058438/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q6TKG9,42,2024-11-27,2026_02,10-June-2026,2026-08-31
Q6TKH0,Heliophobius argenteocinereus,BLA,BLA-DQA1,BLA-DQA1,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/15058438/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q6TKH0,42,2024-11-27,2026_02,10-June-2026,2026-08-31
Q6TKH1,Heliophobius argenteocinereus,BLA,BLA-DQA1,BLA-DQA1,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/15058438/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q6TKH1,42,2024-11-27,2026_02,10-June-2026,2026-08-31
Q6TKH2,Heliophobius argenteocinereus,BLA,BLA-DQA1,BLA-DQA1,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/15058438/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q6TKH2,42,2024-11-27,2026_02,10-June-2026,2026-08-31
Q6TKH3,Heliophobius argenteocinereus,BLA,BLA-DQA1,BLA-DQA1,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/15058438/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q6TKH3,42,2024-11-27,2026_02,10-June-2026,2026-08-31
Q6TKH4,Heliophobius argenteocinereus,BLA,BLA-DQA1,BLA-DQA1,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/15058438/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q6TKH4,42,2024-11-27,2026_02,10-June-2026,2026-08-31
Q6TKH5,Heterocephalus glaber,BLA,BLA-DQA1,BLA-DQA1,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/15058438/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q6TKH5,42,2024-11-27,2026_02,10-June-2026,2026-08-31
Q6TKH6,Heterocephalus glaber,BLA,BLA-DQA1,BLA-DQA1,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/15058438/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q6TKH6,42,2024-11-27,2026_02,10-June-2026,2026-08-31
Q6TKH7,Heterocephalus glaber,BLA,BLA-DQA1,BLA-DQA1,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/15058438/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q6TKH7,42,2024-11-27,2026_02,10-June-2026,2026-08-31
Q6TKH8,Heterocephalus glaber,BLA,BLA-DQA1,BLA-DQA1,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/15058438/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q6TKH8,42,2024-11-27,2026_02,10-June-2026,2026-08-31
O02879,Mus caroli,H2,H2-Eb,H2-Eb,MHC class II,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/9178014/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/O02879,67,2025-10-08,2026_02,10-June-2026,2026-08-31
O02878,Mus cervicolor,H2,H2-Eb,H2-Eb,MHC class II,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/9178014/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/O02878,67,2025-10-08,2026_02,10-June-2026,2026-08-31
O02877,Mus cookii,H2,H2-Eb,H2-Eb,MHC class II,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/9178014/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/O02877,70,2025-10-08,2026_02,10-June-2026,2026-08-31
O02908,Mus macedonicus,H2,H2-Eb,H2-Eb,MHC class II,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/9178014/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/O02908,68,2025-10-08,2026_02,10-June-2026,2026-08-31
O19460,Mus musculus,I,I-A alpha MHC class II,I-A alpha MHC class II,I-A alpha MHC class II protein,generic_label_not_prefix,,unisave_archived,https://rest.uniprot.org/unisave/O19460?format=txt&versions=66,66,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
O19461,Mus musculus,I,I-A beta MHC class II,I-A beta MHC class II,I-A beta MHC class II protein,generic_label_not_prefix,,unisave_archived,https://rest.uniprot.org/unisave/O19461?format=txt&versions=99,99,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
O19462,Mus musculus,I,I-E alpha MHC class II,I-E alpha MHC class II,I-E alpha MHC class II protein,generic_label_not_prefix,,unisave_archived,https://rest.uniprot.org/unisave/O19462?format=txt&versions=79,79,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
O19463,Mus musculus,I,I-E beta MHC class II,I-E beta MHC class II,I-E beta MHC class II protein,generic_label_not_prefix,,unisave_archived,https://rest.uniprot.org/unisave/O19463?format=txt&versions=81,81,08-OCT-2025,2026_01,28-Jan-2026,2026-08-31
O19472,Mus musculus,MHC II H2,MHC II H2-IE-beta,MHC II H2-IE-beta,MHC II H2-IE-beta protein,generic_label_not_prefix,https://pubmed.ncbi.nlm.nih.gov/3018929/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/O19472,96,2025-10-08,2026_02,10-June-2026,2026-08-31
Q9QUH8,Mus musculus,MHC II H2,MHC II H2-IE-beta,MHC II H2-IE-beta,Cell surface glycoprotein,generic_label_not_prefix,https://pubmed.ncbi.nlm.nih.gov/3018929/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/Q9QUH8,99,2026-06-10,2026_02,10-June-2026,2026-08-31
O02909,Mus platythrix,H2,H2-Eb,H2-Eb,MHC class II,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/9178014/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/O02909,66,2025-10-08,2026_02,10-June-2026,2026-08-31
O02913,Mus spicilegus,H2,H2-Eb,H2-Eb,MHC class II,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/9178014/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/O02913,66,2025-10-08,2026_02,10-June-2026,2026-08-31
O02914,Mus spicilegus,H2,H2-Eb,H2-Eb,MHC class II,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/9178014/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/O02914,66,2025-10-08,2026_02,10-June-2026,2026-08-31
O02915,Mus spicilegus,H2,H2-Eb,H2-Eb,MHC class II,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/9178014/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/O02915,67,2025-10-08,2026_02,10-June-2026,2026-08-31
O02910,Mus spretus,H2,H2-Eb,H2-Eb,MHC class II,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/9178014/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/O02910,64,2025-10-08,2026_02,10-June-2026,2026-08-31
O02911,Mus spretus,H2,H2-Eb,H2-Eb,MHC class II,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/9178014/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/O02911,67,2025-10-08,2026_02,10-June-2026,2026-08-31
O02912,Mus spretus,H2,H2-Eb,H2-Eb,MHC class II,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/9178014/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/O02912,67,2025-10-08,2026_02,10-June-2026,2026-08-31
A0A3G6IHA5,Myodes glareolus,Clgl,Clgl-DQA,Clgl-DQA,MHC class II antigen,source_attested_prefix,,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A0A3G6IHA5,17,2025-10-08,2026_02,10-June-2026,2026-08-31
A0A3G6IHB0,Myodes glareolus,Clgl,Clgl-DQA,Clgl-DQA,MHC class II antigen,source_attested_prefix,,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A0A3G6IHB0,17,2025-10-08,2026_02,10-June-2026,2026-08-31
A0A3G6IHB8,Myodes glareolus,Clgl,Clgl-DQA,Clgl-DQA,MHC class II antigen,source_attested_prefix,,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A0A3G6IHB8,15,2025-10-08,2026_02,10-June-2026,2026-08-31
A0A3G6IHC0,Myodes glareolus,Clgl,Clgl-DQA,Clgl-DQA,MHC class II antigen,source_attested_prefix,,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A0A3G6IHC0,17,2025-10-08,2026_02,10-June-2026,2026-08-31
A0A3G6IHC1,Myodes glareolus,Clgl,Clgl-DQA,Clgl-DQA,MHC class II antigen,source_attested_prefix,,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A0A3G6IHC1,17,2025-10-08,2026_02,10-June-2026,2026-08-31
A0A3G6IHC9,Myodes glareolus,Clgl,Clgl-DQA,Clgl-DQA,MHC class II antigen,source_attested_prefix,,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A0A3G6IHC9,17,2025-10-08,2026_02,10-June-2026,2026-08-31
A0A3G6IHD1,Myodes glareolus,Clgl,Clgl-DQA,Clgl-DQA,MHC class II antigen,source_attested_prefix,,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A0A3G6IHD1,17,2025-10-08,2026_02,10-June-2026,2026-08-31
A0A3G6IHD3,Myodes glareolus,Clgl,Clgl-DQA,Clgl-DQA,MHC class II antigen,source_attested_prefix,,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A0A3G6IHD3,17,2025-10-08,2026_02,10-June-2026,2026-08-31
A0A3G6IHE1,Myodes glareolus,Clgl,Clgl-DQA,Clgl-DQA,MHC class II antigen,source_attested_prefix,,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A0A3G6IHE1,15,2025-10-08,2026_02,10-June-2026,2026-08-31
A0A3G6IHE2,Myodes glareolus,Clgl,Clgl-DQA,Clgl-DQA,MHC class II antigen,source_attested_prefix,,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A0A3G6IHE2,17,2025-10-08,2026_02,10-June-2026,2026-08-31
A0A3G6IHE3,Myodes glareolus,Clgl,Clgl-DQA,Clgl-DQA,MHC class II antigen,source_attested_prefix,,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A0A3G6IHE3,17,2025-10-08,2026_02,10-June-2026,2026-08-31
A0A3G6IHE9,Myodes glareolus,Clgl,Clgl-DQA,Clgl-DQA,MHC class II antigen,source_attested_prefix,,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A0A3G6IHE9,17,2025-10-08,2026_02,10-June-2026,2026-08-31
A0A3G6IHF1,Myodes glareolus,Clgl,Clgl-DQA,Clgl-DQA,MHC class II antigen,source_attested_prefix,,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A0A3G6IHF1,17,2025-10-08,2026_02,10-June-2026,2026-08-31
A0A3G6IHF2,Myodes glareolus,Clgl,Clgl-DQA,Clgl-DQA,MHC class II antigen,source_attested_prefix,,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A0A3G6IHF2,17,2025-10-08,2026_02,10-June-2026,2026-08-31
