uniprot_accession,species,legacy_prefix,legacy_gene,source_gene_names,source_protein_name,label_classification,primary_reference,source_kind,source_url,uniprot_entry_version,uniprot_last_modified,uniprot_release,uniprot_release_date,retrieved_on
A7YEL3,Arvicola amphibius,Arte,Arte-DRB,Arte-DRB,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A7YEL3,44,2025-10-08,2026_02,10-June-2026,2026-08-31
A7YEL5,Arvicola amphibius,Arte,Arte-DRB,Arte-DRB,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A7YEL5,44,2025-10-08,2026_02,10-June-2026,2026-08-31
A7YEL7,Arvicola amphibius,Arte,Arte-DRB,Arte-DRB,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A7YEL7,44,2025-10-08,2026_02,10-June-2026,2026-08-31
A7YEL9,Arvicola amphibius,Arte,Arte-DRB,Arte-DRB,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A7YEL9,44,2025-10-08,2026_02,10-June-2026,2026-08-31
A7YEM1,Arvicola amphibius,Arte,Arte-DRB,Arte-DRB,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A7YEM1,44,2025-10-08,2026_02,10-June-2026,2026-08-31
A7YEM4,Arvicola amphibius,Arte,Arte-DRB,Arte-DRB,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A7YEM4,44,2025-10-08,2026_02,10-June-2026,2026-08-31
A7YEM7,Arvicola amphibius,Arte,Arte-DRB,Arte-DRB,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A7YEM7,44,2025-10-08,2026_02,10-June-2026,2026-08-31
A7YEM8,Arvicola amphibius,Arte,Arte-DRB,Arte-DRB,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A7YEM8,44,2025-10-08,2026_02,10-June-2026,2026-08-31
A7YEN0,Arvicola amphibius,Arte,Arte-DRB,Arte-DRB,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A7YEN0,44,2025-10-08,2026_02,10-June-2026,2026-08-31
A7YEN1,Arvicola amphibius,Arte,Arte-DRB,Arte-DRB,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A7YEN1,44,2025-10-08,2026_02,10-June-2026,2026-08-31
A7YEN2,Arvicola amphibius,Arte,Arte-DRB,Arte-DRB,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A7YEN2,44,2025-10-08,2026_02,10-June-2026,2026-08-31
A7YEN3,Arvicola amphibius,Arte,Arte-DRB,Arte-DRB,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A7YEN3,43,2025-10-08,2026_02,10-June-2026,2026-08-31
A7YEN4,Arvicola amphibius,Arte,Arte-DRB,Arte-DRB,MHC class II antigen,source_attested_prefix,https://pubmed.ncbi.nlm.nih.gov/17956550/,uniprotkb_current,https://rest.uniprot.org/uniprotkb/A7YEN4,44,2025-10-08,2026_02,10-June-2026,2026-08-31
