taxon_id,organism,taxonomy_name,source_clade,source_clade_taxon_id,species_category,category_basis_taxon_id,taxonomy_release,source_url,audited_on
9054,Phasianus colchicus,Phasianus colchicus,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/9054,2026-09-03
9083,Bambusicola thoracicus,Bambusicola thoracicus,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/9083,2026-09-03
9089,Chrysolophus pictus,Chrysolophus pictus,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/9089,2026-09-03
9135,Serinus canaria,Serinus canaria,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/9135,2026-09-03
9218,Phoenicopterus ruber ruber,Phoenicopterus ruber ruber,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/9218,2026-09-03
9240,Spheniscus humboldti,Spheniscus humboldti,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/9240,2026-09-03
9305,Sarcophilus harrisii,Sarcophilus harrisii,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/9305,2026-09-03
9365,Erinaceus europaeus,Erinaceus europaeus,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/9365,2026-09-03
9483,Callithrix jacchus,Callithrix jacchus,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/9483,2026-09-03
9490,Saguinus oedipus,Saguinus oedipus,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/9490,2026-09-03
9531,Cercocebus atys,Cercocebus atys,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/9531,2026-09-03
9541,Macaca fascicularis,Macaca fascicularis,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/9541,2026-09-03
9544,Macaca mulatta,Macaca mulatta,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/9544,2026-09-03
9545,Macaca nemestrina,Macaca nemestrina,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/9545,2026-09-03
9555,Papio anubis,Papio anubis,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/9555,2026-09-03
9568,Mandrillus leucophaeus,Mandrillus leucophaeus,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/9568,2026-09-03
9595,Gorilla gorilla gorilla,Gorilla gorilla gorilla,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/9595,2026-09-03
9597,Pan paniscus,Pan paniscus,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/9597,2026-09-03
9598,Pan troglodytes,Pan troglodytes,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/9598,2026-09-03
9600,Pongo pygmaeus,Pongo pygmaeus,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/9600,2026-09-03
9601,Pongo abelii,Pongo abelii,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/9601,2026-09-03
9606,Homo sapiens,Homo sapiens,Mammalia,40674,human,9606,2026_03,https://rest.uniprot.org/taxonomy/9606,2026-09-03
9615,Canis lupus familiaris,Canis lupus familiaris,Mammalia,40674,carnivore,9608,2026_03,https://rest.uniprot.org/taxonomy/9615,2026-09-03
9643,Ursus americanus,Ursus americanus,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/9643,2026-09-03
9646,Ailuropoda melanoleuca,Ailuropoda melanoleuca,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/9646,2026-09-03
9755,Physeter macrocephalus,Physeter macrocephalus,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/9755,2026-09-03
9771,Balaenoptera musculus,Balaenoptera musculus,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/9771,2026-09-03
9823,Sus scrofa,Sus scrofa,Mammalia,40674,ungulate,9821,2026_03,https://rest.uniprot.org/taxonomy/9823,2026-09-03
9913,Bos taurus,Bos taurus,Mammalia,40674,ungulate,9895,2026_03,https://rest.uniprot.org/taxonomy/9913,2026-09-03
9925,Capra hircus,Capra hircus,Mammalia,40674,ungulate,9895,2026_03,https://rest.uniprot.org/taxonomy/9925,2026-09-03
9940,Ovis aries,Ovis aries,Mammalia,40674,ungulate,9895,2026_03,https://rest.uniprot.org/taxonomy/9940,2026-09-03
9986,Oryctolagus cuniculus,Oryctolagus cuniculus,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/9986,2026-09-03
9994,Marmota marmota marmota,Marmota marmota marmota,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/9994,2026-09-03
9999,Urocitellus parryii,Urocitellus parryii,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/9999,2026-09-03
10020,Dipodomys ordii,Dipodomys ordii,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/10020,2026-09-03
10029,Cricetulus griseus,Cricetulus griseus,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/10029,2026-09-03
10036,Mesocricetus auratus,Mesocricetus auratus,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/10036,2026-09-03
10089,Mus caroli,Mus caroli,Mammalia,40674,murine,39107,2026_03,https://rest.uniprot.org/taxonomy/10089,2026-09-03
10090,Mus musculus,Mus musculus,Mammalia,40674,murine,39107,2026_03,https://rest.uniprot.org/taxonomy/10090,2026-09-03
10103,Mus spicilegus,Mus spicilegus,Mammalia,40674,murine,39107,2026_03,https://rest.uniprot.org/taxonomy/10103,2026-09-03
10116,Rattus norvegicus,Rattus norvegicus,Mammalia,40674,murine,39107,2026_03,https://rest.uniprot.org/taxonomy/10116,2026-09-03
10141,Cavia porcellus,Cavia porcellus,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/10141,2026-09-03
13677,Scomber scombrus,Scomber scombrus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/13677,2026-09-03
13765,Xyrichtys novacula,Xyrichtys novacula,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/13765,2026-09-03
27687,Erpetoichthys calabaricus,Erpetoichthys calabaricus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/27687,2026-09-03
28377,Anolis carolinensis,Anolis carolinensis,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/28377,2026-09-03
29073,Ursus maritimus,Ursus maritimus,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/29073,2026-09-03
29139,Vombatus ursinus,Vombatus ursinus,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/29139,2026-09-03
29144,Chanos chanos,Chanos chanos,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/29144,2026-09-03
30357,Pyxicephalus adspersus,Pyxicephalus adspersus,Amphibia,8292,other_vertebrate,8292,2026_03,https://rest.uniprot.org/taxonomy/30357,2026-09-03
